Landkreis;Personen;Altersgruppe;Geschlecht;Nationalität
SK Berlin Tempelhof-Schöneberg;8292;A25-A29;W;D
SK Berlin Tempelhof-Schöneberg;9413;A30-A34;W;D
SK Berlin Tempelhof-Schöneberg;8902;A35-A39;W;D
SK Berlin Tempelhof-Schöneberg;8292;A40-A44;W;D
SK Berlin Tempelhof-Schöneberg;27857;A45-A59;W;D
SK Berlin Tempelhof-Schöneberg;9988;A60-A64;W;D
SK Berlin Tempelhof-Schöneberg;37707;A65+;W;D
SK Berlin Neukölln;7966;A00-A05;W;D
SK Berlin Neukölln;10803;A06-A14;W;D
SK Berlin Neukölln;3270;A15-A17;W;D
SK Berlin Neukölln;2170;A18-A19;W;D
SK Berlin Neukölln;6160;A20-A24;W;D
SK Berlin Neukölln;8127;A25-A29;W;D
SK Berlin Neukölln;10506;A30-A34;W;D
SK Berlin Neukölln;9488;A35-A39;W;D
SK Berlin Neukölln;7749;A40-A44;W;D
SK Berlin Neukölln;20903;A45-A59;W;D
SK Berlin Neukölln;7395;A60-A64;W;D
SK Berlin Neukölln;27778;A65+;W;D
SK Berlin Treptow-Köpenick;7063;A00-A05;W;D
SK Berlin Treptow-Köpenick;9583;A06-A14;W;D
SK Berlin Treptow-Köpenick;2657;A15-A17;W;D
SK Berlin Treptow-Köpenick;1772;A18-A19;W;D
SK Berlin Treptow-Köpenick;5304;A20-A24;W;D
SK Berlin Treptow-Köpenick;5796;A25-A29;W;D
SK Berlin Treptow-Köpenick;9102;A30-A34;W;D
SK Berlin Treptow-Köpenick;9721;A35-A39;W;D
SK Berlin Treptow-Köpenick;8486;A40-A44;W;D
SK Berlin Treptow-Köpenick;24534;A45-A59;W;D
SK Berlin Treptow-Köpenick;8286;A60-A64;W;D
SK Berlin Treptow-Köpenick;34281;A65+;W;D
SK Berlin Marzahn-Hellersdorf;6597;A00-A05;W;D
SK Berlin Marzahn-Hellersdorf;10287;A06-A14;W;D
SK Berlin Marzahn-Hellersdorf;3037;A15-A17;W;D
SK Berlin Marzahn-Hellersdorf;1925;A18-A19;W;D
SK Berlin Marzahn-Hellersdorf;5007;A20-A24;W;D
SK Berlin Marzahn-Hellersdorf;4460;A25-A29;W;D
SK Berlin Marzahn-Hellersdorf;7428;A30-A34;W;D
SK Berlin Marzahn-Hellersdorf;8659;A35-A39;W;D
SK Berlin Marzahn-Hellersdorf;7494;A40-A44;W;D
SK Berlin Marzahn-Hellersdorf;22697;A45-A59;W;D
SK Berlin Marzahn-Hellersdorf;10946;A60-A64;W;D
SK Berlin Marzahn-Hellersdorf;32738;A65+;W;D
SK Berlin Lichtenberg;7261;A00-A05;W;D
SK Berlin Lichtenberg;9614;A06-A14;W;D
SK Berlin Lichtenberg;2671;A15-A17;W;D
SK Berlin Lichtenberg;1775;A18-A19;W;D
SK Berlin Lichtenberg;5234;A20-A24;W;D
SK Berlin Lichtenberg;6086;A25-A29;W;D
SK Berlin Lichtenberg;9506;A30-A34;W;D
SK Berlin Lichtenberg;10065;A35-A39;W;D
SK Berlin Lichtenberg;8231;A40-A44;W;D
SK Berlin Lichtenberg;20368;A45-A59;W;D
SK Berlin Lichtenberg;8651;A60-A64;W;D
SK Berlin Lichtenberg;32811;A65+;W;D
SK Berlin Reinickendorf;6045;A00-A05;W;D
SK Berlin Reinickendorf;8817;A06-A14;W;D
SK Berlin Reinickendorf;2875;A15-A17;W;D
SK Berlin Reinickendorf;1921;A18-A19;W;D
SK Berlin Reinickendorf;5264;A20-A24;W;D
SK Berlin Reinickendorf;5092;A25-A29;W;D
